       0                           1
0    PC0        contVerbosParticipio
1    PC1       contVerbosCondicional
2    PC2         contInterpelaciones
3    PC3   contVerbosSerEstarParecer
4    PC4            conDeterminantes
5    PC5           contDemostrativos
6    PC6            conDeterminantes
7    PC7             contDiminutivos
8    PC8            contAumentativos
9    PC9       contVerbosIndicativos
10  PC10             contPeroyativos
11  PC11  contVerbosEnSegundaPersona
12  PC12       contVerbosIndicativos
13  PC13          contIndeterminados
14  PC14  contVerbosEnPrimeraPersona
15  PC15   contPronombres2onaPersona
16  PC16         contCaracMayusculas
17  PC17       contAdverbiosCantidad
18  PC18   contPronombres1eraPersona
19  PC19            contSuperlativos
20  PC20         contLetrasRepetidas
21  PC21            contOnomatopeyas
22  PC22         contInterpelaciones
23  PC23                 contMencion
24  PC24    contPalabrasConArrDentro
25  PC25              contParentesis
26  PC26        contVerbosImperativo
27  PC27          contVerbosGerundio
28  PC28          contVerbosGerundio
29  PC29                  contEmojis
30  PC30          contVerbosPresente
31  PC31                 contMencion
32  PC32            contVerbosFuturo
