contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,insultos,likes,retweets,hora,seguidors,seguits,tema,actividad
0,0,0,5,1.786,0,0,0,1,2,2,0,0,0,0,6,0,0,0,0,2,3,1,6,5,7,5,3,0,0,0,1,2,0,0,0,4,46,4,129,1978,66,S,A
1,0,0,5,7.752,0,0,0,2,6,6,0,1,0,0,2,0,0,0,0,1,4,5,8,7,8,5,4,1,0,1,0,0,0,0,0,5,2,0,85856,8426,7373,S,A
0,0,0,6,2.137,1,0,0,1,5,2,0,0,0,1,5,1,0,0,0,1,2,2,4,6,4,4,2,1,0,0,0,0,1,0,0,6,14,3,85192,21747,3528,S,A
4,0,0,7,5.97,6,0,1,0,2,2,0,1,0,0,4,0,0,0,0,1,2,4,4,4,4,2,1,0,0,0,0,0,1,0,0,3,1,0,84454,0,0,S,A
1,0,0,3,5.714,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,76851,8,88,S,A
1,0,0,5,1.724,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,5,1,6,2,6,2,4,0,0,0,1,0,0,0,0,1,6,0,74576,2950,2580,S,R
2,0,0,8,10.788,2,0,0,1,2,2,0,1,2,0,7,0,0,0,0,0,3,4,7,6,7,6,0,0,0,0,0,0,3,0,0,8,1,0,74423,0,0,S,A
0,0,2,5,6.358,2,0,0,0,2,1,0,1,0,0,3,0,1,0,0,2,3,0,4,1,4,1,3,0,0,1,1,0,1,0,0,2,2,1,74133,377,446,S,A
0,0,3,10,7.692,5,0,0,1,1,2,1,0,0,0,1,1,0,0,0,2,1,1,1,1,3,1,1,0,0,0,0,0,1,0,0,4,11,2,73272,13201,7450,S,A
1,0,0,7,2.37,1,0,0,2,3,4,1,0,1,0,5,0,0,0,0,1,4,7,7,7,7,4,3,0,0,0,0,0,1,0,0,1,1,0,6151,114,384,TV,A
2,0,0,8,3.187,1,0,0,2,3,3,0,0,1,0,3,1,0,1,0,2,6,7,7,7,7,6,5,0,0,0,0,0,2,0,0,2,2,2,5402,1155,2045,TV,A
0,0,0,2,25.532,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,2,2,3,2,3,1,2,0,0,1,0,0,0,0,0,2,17,1,4582,600,457,TV,V
0,0,0,3,5.185,0,0,0,1,3,4,0,0,1,0,2,1,0,0,0,1,3,3,4,3,4,2,3,0,0,0,2,0,1,0,0,3,2,0,4175,3872,3774,TV,A
0,0,1,11,0.0,3,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,6,1,6,1,6,1,5,0,0,0,2,0,1,0,0,1,5,1,4132,594,279,TV,V
4,0,0,7,6.522,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,1,9,0,2047,25,72,TV,A
7,0,0,12,5.405,20,0,0,4,5,5,0,1,1,0,0,1,0,0,0,0,4,3,4,3,4,3,2,0,0,0,0,0,1,0,0,1,3,0,768,175,268,TV,A
1,0,0,7,5.376,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,3,3,3,3,3,2,0,0,0,0,0,1,0,0,1,1,0,205,499,654,TV,A
0,0,0,4,5.172,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,2,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,86276,2982,3176,TV,A
0,0,0,8,3.211,2,0,0,1,2,2,0,0,2,0,3,1,0,0,0,3,7,6,9,8,9,8,6,1,0,1,1,0,0,0,0,4,8,1,85620,8765,5948,TV,A
0,0,2,9,5.752,1,0,0,0,4,3,0,0,1,0,7,1,0,0,0,1,3,2,5,2,4,2,4,0,0,0,0,0,1,0,0,3,2,0,84094,1218,617,TV,A
