contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,insultos,likes,retweets,diaSetmana,hora,seguidors,seguits,violento,KMeans_Clusters
0,0,0,2,2.206,1,0,0,2,4,4,1,1,0,0,3,2,0,0,0,0,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,1,71301,31142,9127,1,3
2,0,0,10,9.091,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,4,1,0,0,77567,3278,3416,0,3
2,0,0,6,6.135,3,0,0,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,73519,207,261,1,3
1,0,7,22,10.821,6,2,0,1,2,2,1,0,0,0,6,0,0,0,0,0,2,1,3,1,3,0,2,0,0,1,1,0,0,0,0,2,2,2,0,48813,4220,4465,1,3
0,0,0,1,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,28306,88,48,0,4
1,0,3,7,6.542,2,0,0,2,3,3,1,0,1,0,4,0,0,0,0,0,2,1,3,2,3,2,2,0,0,0,0,0,0,0,0,4,0,0,6,73612,31142,9127,1,2
0,0,3,6,17.323,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,1,2,1,2,0,0,0,0,0,0,0,0,1,3,3,6,38157,8683,9576,0,1
1,0,0,3,5.932,3,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,38061,4220,4465,0,1
0,0,5,11,8.3,3,1,0,2,6,6,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,37823,4220,4465,1,2
2,0,0,9,3.571,2,0,0,0,1,1,0,0,1,0,8,1,0,0,0,1,2,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,1,1,6,33867,67,85,0,2
2,0,0,5,5.785,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,3,0,0,6,18983,270,270,1,1
1,0,0,7,5.217,0,0,0,3,4,4,0,0,1,0,5,3,0,0,0,0,1,1,5,3,3,3,2,0,0,0,0,0,2,0,0,3,92,26,6,638,3278,3416,1,0
5,0,0,13,5.137,2,0,2,0,1,1,1,1,1,1,2,3,0,0,0,0,4,5,6,6,6,5,3,1,0,0,0,0,1,0,0,1,0,0,5,66419,137,297,0,0
0,0,5,8,4.724,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,5,64099,0,0,1,2
1,0,0,6,6.122,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,63509,3888,4172,1,2
0,0,0,5,6.356,1,0,0,3,6,6,0,0,0,0,1,0,0,0,0,0,3,1,3,1,3,1,2,0,0,0,1,0,0,0,0,8,91,41,5,63218,13243,7459,1,2
0,0,3,8,5.66,5,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,60704,0,0,1,2
3,0,1,6,5.738,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,1,2,1,2,0,0,0,0,0,1,0,0,0,1,1,5,60381,225,522,0,2
2,0,2,6,6.542,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,55013,250,966,1,2
1,0,0,5,3.876,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,3,1,2,1,3,0,0,0,0,0,0,0,0,2,11,2,5,54485,131,234,1,2
0,0,3,8,4.598,2,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,2,1,2,1,2,1,2,0,0,0,1,0,0,0,0,2,9,4,5,53297,11974,707,0,2
1,0,0,3,5.946,2,0,0,2,3,3,1,0,0,0,6,1,0,0,0,0,1,0,3,1,2,1,3,1,1,0,0,0,1,0,0,2,0,0,5,50350,381,1120,0,2
0,0,0,3,3.256,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,1,5,4,5,4,3,0,0,1,1,0,1,0,0,4,10,5,5,48899,0,0,1,2
1,0,0,7,4.061,2,0,0,1,1,1,1,0,0,0,9,0,0,0,0,1,4,5,5,5,5,4,2,1,0,0,0,0,1,0,0,4,2,1,5,47981,78,226,1,0
0,0,0,7,2.62,0,0,0,1,4,3,0,0,0,0,6,0,0,0,0,1,5,4,6,4,5,4,4,2,0,0,0,0,1,0,0,3,1,1,5,45526,121,1233,1,0
0,0,0,1,5.063,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,1,0,0,0,0,0,1,0,0,1,1,0,5,42315,423,221,1,2
0,0,3,9,5.825,3,0,0,4,4,4,0,0,0,0,4,1,0,0,0,1,4,3,6,4,5,4,4,0,0,1,0,1,0,0,0,3,1,2,5,41034,875,768,1,0
0,0,3,9,6.926,3,0,0,1,1,1,2,0,1,0,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6,1,1,5,40638,0,0,1,2
1,0,0,6,2.381,2,0,0,1,2,2,0,0,0,0,3,1,0,0,0,1,2,2,3,1,3,1,2,0,0,1,0,0,0,0,0,1,2,1,5,39971,8368,4124,0,2
4,0,3,12,8.621,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,2,0,0,5,38489,250,966,1,1
0,0,1,4,4.054,2,0,0,1,1,1,0,1,1,0,6,0,0,0,0,0,4,3,4,3,4,3,3,0,0,0,0,0,0,0,0,4,1,1,5,38488,2215,1972,1,2
0,0,0,1,4.167,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,5,36790,209,299,1,1
1,0,0,3,4.242,1,0,0,2,1,2,0,0,1,0,1,0,1,0,0,0,4,2,4,3,4,3,3,0,0,1,0,0,0,0,0,2,2,0,5,36668,3484,3258,1,2
1,0,3,13,6.25,4,0,0,4,5,5,0,1,0,0,2,1,1,0,0,1,1,2,6,5,6,3,3,1,1,1,0,0,0,0,0,3,5,0,5,36458,1354,626,1,0
0,0,0,4,8.511,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,36231,602,2144,0,1
0,0,3,12,6.19,6,0,0,4,3,4,0,0,0,0,4,0,0,0,0,0,4,2,6,3,4,3,5,0,0,1,0,0,0,0,0,4,0,0,5,36163,3484,3258,1,0
0,0,3,6,6.944,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,65,24,5,35665,6605,1924,1,1
0,0,3,8,6.283,4,0,0,2,2,2,0,0,0,0,6,0,0,0,0,0,2,1,3,2,3,2,1,0,0,0,0,0,0,0,0,3,1,1,5,35164,392,1362,1,2
1,0,0,6,1.288,0,0,0,2,1,2,0,1,0,0,3,5,0,0,0,2,1,3,3,3,3,1,1,1,0,0,0,0,2,0,0,4,0,0,5,33617,0,0,1,2
1,0,0,6,5.381,2,0,0,0,3,2,0,1,0,0,5,0,0,0,0,2,3,3,4,3,4,2,3,0,0,1,0,0,0,0,0,3,0,0,5,33234,0,0,1,0
1,0,0,2,7.692,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32814,131,281,0,1
0,0,1,3,6.211,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,52,29,5,31881,1255,527,1,1
0,0,1,3,5.435,1,0,0,1,2,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,1,5,31826,225,522,1,1
1,0,0,4,6.579,2,0,0,1,1,2,0,0,0,0,2,0,0,0,0,1,1,1,2,1,2,0,1,0,0,0,1,0,0,0,0,1,3,0,5,31219,2029,3806,1,1
2,0,0,21,3.292,14,0,0,1,2,1,1,0,0,1,2,2,0,1,0,2,3,0,4,1,5,1,3,0,0,0,3,0,1,0,0,2,2,0,5,30609,483,604,1,1
0,0,5,9,9.278,3,0,0,6,7,7,1,0,0,0,3,0,0,0,0,0,4,2,4,2,4,2,4,0,0,1,0,0,1,0,0,3,0,0,5,30423,163,266,1,0
1,0,2,5,6.107,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,3,4,0,5,30374,140,238,1,1
2,0,0,12,8.046,5,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,3,3,5,3,4,2,2,0,0,0,0,0,0,0,0,6,0,0,3,75669,77,60,1,2
1,0,11,22,8.984,4,0,0,2,5,6,1,1,0,1,5,1,0,0,0,1,3,2,5,4,5,3,2,0,0,1,0,0,1,0,0,3,60,45,2,66106,27556,985,1,0
17,0,3,30,16.538,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52504,2787,5002,0,3
1,0,0,12,5.35,4,0,0,0,1,1,0,0,1,0,5,0,1,0,0,0,4,4,5,5,5,5,0,0,0,0,0,0,2,0,0,1,12,3,1,48073,2407,1536,1,3
0,0,3,11,4.511,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,33012,440,849,0,4
2,0,0,5,5.634,2,0,0,0,1,1,0,0,1,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,48273,5189,5264,0,2
2,0,2,9,5.761,0,1,0,0,0,0,0,0,2,0,8,2,0,0,0,0,2,3,5,3,5,0,4,0,0,0,0,0,1,0,0,4,13,5,4,74836,1995,1001,0,2
2,0,0,9,7.377,4,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,62026,2128,2961,1,2
2,0,3,17,4.348,5,0,0,1,1,2,1,0,1,0,4,0,0,0,0,0,2,1,3,2,3,2,2,0,0,1,0,0,0,0,0,3,0,0,5,32426,4014,4560,1,1
1,0,3,10,7.692,4,0,0,0,2,5,0,0,0,1,2,1,1,0,0,3,2,4,6,4,5,1,2,0,0,1,0,0,1,0,0,1,63,19,1,72779,6654,3813,0,3
4,0,0,9,6.818,1,0,0,1,2,3,0,1,2,0,2,2,0,0,0,2,4,4,5,4,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,45267,613,2480,1,3
2,0,0,2,4.762,7,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,44586,597,93,1,3
3,0,3,11,10.833,3,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1,2,3,3,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,40549,587,1017,0,3
4,0,0,8,7.5,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3,3,2,4,2,4,1,2,0,0,0,2,0,1,0,0,1,1,0,0,39414,54,253,1,3
