       0                           1
0    PC0         contInterpelaciones
1    PC1   contVerbosSerEstarParecer
2    PC2            conDeterminantes
3    PC3           contDemostrativos
4    PC4            conDeterminantes
5    PC5             contDiminutivos
6    PC6            contAumentativos
7    PC7       contVerbosIndicativos
8    PC8             contPeroyativos
9    PC9  contVerbosEnSegundaPersona
10  PC10       contVerbosIndicativos
11  PC11          contIndeterminados
12  PC12  contVerbosEnPrimeraPersona
13  PC13   contPronombres2onaPersona
14  PC14         contCaracMayusculas
15  PC15        contVerbosParticipio
16  PC16   contPronombres1eraPersona
17  PC17            contSuperlativos
18  PC18         contLetrasRepetidas
19  PC19            contOnomatopeyas
20  PC20         contInterpelaciones
21  PC21                 contMencion
22  PC22    contPalabrasConArrDentro
23  PC23              contParentesis
24  PC24        contVerbosImperativo
25  PC25       contVerbosCondicional
26  PC26       contVerbosCondicional
27  PC27                  contEmojis
28  PC28          contVerbosPresente
29  PC29                 contMencion
30  PC30            contVerbosFuturo
